wl_permit,Horizontal_depth,Vertical_depth,normalized_E,duration,conductor,surface,intermediate,liner_length,latitude,longitude,year
27689,5901.2998,10550.7002,0.20518803,13,0,2280,10931,10380,48.31270213,-103.6350739,2015
27686,9809.40039,10527.59961,0.264727516,11,0,2324,10785,10365,48.31283294,-103.6444328,2014
27685,9912,10618,0.244154941,15,0,2331,10830,10479,48.31283243,-103.6442971,2014
27670,8597.90039,10650.09961,0.133468017,14,0,2241,10873,9324,48.01906322,-102.4697908,2014
27574,11774.5,10425.5,0.000355936,15,0,2151,10311,12390,48.2288738,-102.7502239,2014
27573,11423.09961,10564.90039,0.026548657,14,0,2157,10453,11422,48.22888284,-102.7500187,2014
27572,9065.5,10384.5,0.034183857,17,0,2102,10456,11633,48.22845766,-102.7499583,2014
27564,1127.7998,10681.2002,0.654627987,18,102,2069,11844,12199,48.04813651,-102.715474,2015
27527,4763.90039,10222.09961,0.556931544,10,0,1563,10490,5367,48.06763894,-103.0317479,2015
27525,9263.59961,10496.40039,0.032839281,13,0,2370,10902,9834,48.15659415,-102.5490837,2014
27481,10498.59961,11166.40039,0.289300861,18,0,2254,11392,11143,47.76217954,-103.2918611,2014
27468,1270.709961,9814.290039,0.554223028,16,0,1888,10317,9354,48.46074858,-103.6300714,2014
29211,6259,10681,0.191184869,20,0,1963,11391,13670,47.89830373,-102.6874166,2015
29211,6259,10681,0.399364,20,0,1963,11391,13670,47.89830373,-102.6874166,2015
